id,cid,tp,onstop,offstop,ridestart,ridedis,ridetime,fair,transcount,onx,ony,offx,offy,hours,hoursend,dis,function1,function2,EXTRA
809,9.00E+15,1,STN Raffles Place,53289,62223,10.7,45.33,1.29,3,372219.63,141941.89,372576.52,148963.91,5.76,5.77,1,858,759,11.05
827,9.00E+15,1,28671,STN Queenstown,31314,8.8,30.72,1.21,3,361179.1,147826.38,367174.39,143106.35,2.90,2.90,1,829,730,11.05
828,9.00E+15,1,STN Queenstown,STN Clementi,38136,5.4,25.73,3.01,2,367174.39,143106.35,362627.84,145414.63,3.53,3.53,0,835,735,11.05
834,8.99E+15,1,53389,53231,30958,1,10.5,0.71,2,371520.61,150151.38,371826.81,149323.59,2.87,2.87,0,828,729,11.05
836,8.99E+15,1,46799,46651,57713,3.4,14.57,4.81,3,366473.19,159843.6,365883.23,158413.17,5.34,5.35,0,853,753,11.05
837,8.99E+15,1,46659,53381,63019,21.7,53.65,7.7,5,365864.52,158394.75,371500.32,150164.43,5.84,5.84,2,860,760,11.05
838,2.00E+15,2,STN Tanah Merah,59189,22988,31.7,118.87,0.58,3,382805.22,146727,371189.4,158558.88,2.13,2.14,4,625,425,11.05
839,2.00E+15,2,59181,STN Tanah Merah,58843,31.7,61.5,2.58,3,371195.82,158551.35,382805.22,146727,5.45,5.45,4,658,459,11.05
843,8.99E+15,1,11179,STN Chinatown,30942,6.7,21.28,1.14,3,365846.19,144416.02,371320.06,141998.55,2.87,2.87,0,828,729,11.05
844,8.99E+15,1,STN Chinatown,11171,68059,6.6,53.62,3.14,3,371320.06,141998.55,365915.73,144313.51,6.30,6.31,0,863,763,11.05
854,9.00E+15,1,78229,STN Eunos,33905,13.2,32.53,1.37,3,384405.29,151905.87,377967.94,145896.32,3.14,3.14,1,832,732,11.05
855,9.00E+15,1,STN Eunos,78221,51772,13.1,48.5,3.37,3,377967.94,145896.32,384432,151906.97,4.79,4.80,1,848,749,11.05
862,9.00E+15,1,43371,92111,42391,27.9,74.98,1.81,4,360477.09,148897.45,377998.27,144277.05,3.93,3.93,3,842,742,11.05
863,9.00E+15,1,92119,1119,48849,6.7,48.73,4.09,2,378004.83,144258.67,372626.61,143677.65,4.52,4.53,0,845,745,11.05
864,9.00E+15,1,STN Bugis,STN Bukit Batok,53348,19.3,77.2,5.64,2,372752.11,143794.74,360869.84,149118.51,4.94,4.95,2,851,751,11.05
865,9.00E+15,1,STN Pioneer,96111,26210,34.9,137,1.88,3,355045.4,147858.31,383566.64,147439.28,2.43,2.44,4,828,728,11.05
866,9.00E+15,1,96119,1059,34299,14.2,52.23,3.41,3,383585.77,147450.7,372752.03,143825.23,3.18,3.18,1,832,733,11.05
867,9.00E+15,1,1039,28439,45735,17.2,112.43,5.53,2,372662.35,143508.07,359661.4,147540.18,4.23,4.25,2,844,744,11.05
868,9.00E+15,1,22551,22491,72606,0.9,9.3,5.66,2,355448.63,147591.28,355901.65,147842.93,6.72,6.72,0,867,767,11.05
869,9.00E+15,1,22009,22569,78263,1.2,9.5,6.66,2,356012.5,148106.56,355874.24,147573.92,7.25,7.25,0,872,772,11.05
870,8.99E+15,1,46189,STN Orchard,31153,24.4,44.63,1.77,3,364111.74,159182.99,370110.15,144193.88,2.88,2.89,3,831,732,11.05
